System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
EPIC_246471491b,TEP,349.38429,1.30028,12.03,9.97,0.107,0.097,2457743.37545,0.00051,3.471745,0.000045,4975,95,95,+0.00,0.05,0.05,0.830,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,0.0,-1,-1,0.03817,0.00095,0.00092,0.0305,0.0038,0.0043,0.231,0.005,0.005,14.2,1.9,2.0,2.31,0.34,0.34,1089,22,22,-999,-999,-999,-999,-999,-999
EPIC_246471491c,TEP,349.38429,1.30028,12.03,9.97,0.128,0.21,2457744.53906,0.00038,7.138048,0.000068,4975,95,95,+0.00,0.05,0.05,0.830,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,0.0,-1,-1,0.0824,0.0018,0.0018,0.0493,0.0072,0.0067,0.315,0.007,0.007,12.3,1.9,1.7,1.47,0.24,0.21,741,15,15,-999,-999,-999,-999,-999,-999
EPIC_246471491d,TEP,349.38429,1.30028,12.03,9.97,0.123,0.10,2457745.20100,0.00075,10.45582,0.00024,4975,95,95,+0.00,0.05,0.05,0.830,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,0.0,-1,-1,0.1178,0.0029,0.0029,0.0,0.020,0.0,0.221,0.005,0.005,-1,-1,-1,-1,-1,-1,620,13,13,-999,-999,-999,-999,-999,-999
EPIC_246471491e,TEP,349.38429,1.30028,12.03,9.97,0.115,0.068,2457741.8969,0.0022,14.76289,0.00063,4975,95,95,+0.00,0.05,0.05,0.830,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,0.0,-1,-1,0.1804,0.0042,0.0043,0.0,0.034,0.0,0.174,0.004,0.004,-1,-1,-1,-1,-1,-1,501,10,10,-999,-999,-999,-999,-999,-999
EPIC_246851721,TEP,78.91975,16.27875,11.44,9.89,0.17116,0.55,2457858.92991,0.00017,6.180242,0.000016,6189,47,52,+0.139,0.082,0.084,1.324,0.040,0.040,1.624,0.036,0.035,4.138,0.016,0.016,0.309,0.017,0.016,-1,-1,-1,0.07239,0.00072,0.00074,0.0,5.75,0.0,1.004,0.048,0.049,0.0,147,0.0,0.0,5.9,0.0,1413,16,16,-1.48,0.85,0.85,3.4,3.5,1.6
EPIC_246865365,TEP,78.33912,16.41419,14.96,13.21,0.129,0.6,2457823.2233,0.0006,3.38628,0.00002,6100,263,263,-0.10,0.08,0.08,1.09,0.09,0.09,1.24,0.10,0.10,3.94,0.44,0.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.885,0.088,0.088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_246911830,TEP,76.86733,16.86772,12.69,11.09,0.17365,1.0,2457820.738135,0.000090,2.6266657,0.0000018,6367,250,250,-0.14,0.15,0.15,1.39,0.05,0.06,1.69,0.03,0.03,4.15,-1,-1,0.2841,0.0071,0.0071,0.0,-1,-1,0.0404,0.0013,0.0016,1.42,0.31,0.32,1.552,0.048,0.057,14.6,3.5,3.0,0.38,0.09,0.09,1957,78,77,-999,-999,-999,-999,-999,-999
EPIC_248435473b,TEP,157.93546,0.93758,11.81,8.90,0.01306,0.031,2457950.3332,0.0031,0.658525,0.000017,4284,35,37,-0.064,0.088,0.090,0.649,0.030,0.029,0.638,0.024,0.021,4.641,0.019,0.021,2.49,0.18,0.20,-1,-1,-1,0.01283,0.00020,0.00019,-1,-1,-1,0.26,0.16,0.11,-1,-1,-1,-1,-1,-1,1457,25,27,-999,-999,-999,-999,-999,-999
EPIC_248435473c,TEP,157.93546,0.93758,11.81,8.90,0.0893,0.10,2457946.6511,0.0064,7.8140,0.0017,4284,35,37,-0.064,0.088,0.090,0.649,0.030,0.029,0.638,0.024,0.021,4.641,0.019,0.021,2.49,0.18,0.20,0.041,0.044,0.030,0.06674,0.00100,0.00100,-1,-1,-1,0.057,0.007,0.007,-1,-1,-1,-1,-1,-1,638,11,10,-999,-999,-999,-999,-999,-999
EPIC_248435473d,TEP,157.93546,0.93758,11.81,8.90,0.1416,0.18,2457944.8393,0.0012,14.69699,0.00036,4284,35,37,-0.064,0.088,0.090,0.649,0.030,0.029,0.638,0.024,0.021,4.641,0.019,0.021,2.49,0.18,0.20,0.043,0.046,0.030,0.1017,0.0016,0.0015,-1,-1,-1,0.236,0.010,0.008,-1,-1,-1,-1,-1,-1,518,9,8,-999,-999,-999,-999,-999,-999
EPIC_248435473e,TEP,157.93546,0.93758,11.81,8.90,0.1522,0.16,2457938.5410,0.0013,19.4820,0.0012,4284,35,37,-0.064,0.088,0.090,0.649,0.030,0.029,0.638,0.024,0.021,4.641,0.019,0.021,2.49,0.18,0.20,0.032,0.036,0.023,0.1227,0.0019,0.0018,-1,-1,-1,0.218,0.008,0.008,-1,-1,-1,-1,-1,-1,471,8,8,-999,-999,-999,-999,-999,-999
EPIC_248545986b,TEP,160.59429,4.44136,13.55,9.97,0.0611,0.067,2457908.191,-1,5.240,0.001,3420,18,18,-1,-1,-1,0.40,0.01,0.01,0.36,0.01,0.01,4.9,0.1,0.1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.098,0.009,0.009,-1,-1,-1,-1,-1,-1,502,22,18,-999,-999,-999,-999,-999,-999
EPIC_248545986c,TEP,160.59429,4.44136,13.55,9.97,0.052,0.058,2457916.860,-1,7.775,0.001,3420,18,18,-1,-1,-1,0.40,0.01,0.01,0.36,0.01,0.01,4.9,0.1,0.1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.089,0.009,0.009,-1,-1,-1,-1,-1,-1,427,24,19,-999,-999,-999,-999,-999,-999
EPIC_248545986d,TEP,160.59429,4.44136,13.55,9.97,0.0766,0.065,2457908.381,-1,10.115,0.001,3420,18,18,-1,-1,-1,0.40,0.01,0.01,0.36,0.01,0.01,4.9,0.1,0.1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.098,0.009,0.009,-1,-1,-1,-1,-1,-1,399,18,15,-999,-999,-999,-999,-999,-999
EPIC_249893012b,TEP,228.24821,-16.72464,11.43,9.71,0.180,0.01,2457994.396,0.005,3.5951,0.0003,5430,85,85,+0.20,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,3.99,0.03,0.03,0.211,0.018,0.016,0.06,0.08,0.04,0.047,0.005,0.007,0.0275,0.0034,0.0034,0.174,0.008,0.007,-1,-1,-1,4.82,0.90,0.78,1616,149,79,-999,-999,-999,-999,-999,-999
EPIC_249893012c,TEP,228.24821,-16.72464,11.43,9.71,0.265,0.04,2457998.841,0.003,15.624,0.001,5430,85,85,+0.20,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,3.99,0.03,0.03,0.211,0.018,0.016,0.07,0.08,0.05,0.13,0.01,0.02,0.0461,0.0058,0.0059,0.327,0.015,0.012,-1,-1,-1,1.22,0.23,0.22,990,92,49,-999,-999,-999,-999,-999,-999
EPIC_249893012d,TEP,228.24821,-16.72464,11.43,9.71,0.398,0.05,2458008.652,0.003,35.747,0.005,5430,85,85,+0.20,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,3.99,0.03,0.03,0.211,0.018,0.016,0.15,0.21,0.11,0.22,0.02,0.04,0.0320,0.0077,0.0076,0.352,0.012,0.011,-1,-1,-1,0.69,0.19,0.17,752,69,37,-999,-999,-999,-999,-999,-999
EPIC_249631677,TEP,228.02163,-20.10850,17.67,11.84,0.0342,0.2,2457990.8620,0.0011,3.1443189,0.0000049,3300,30,30,-0.24,0.09,0.09,0.174,0.004,0.004,0.196,0.006,0.006,5.094,0.006,0.006,23.1,0.7,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0848,0.0052,0.0052,-1,-1,-1,-1,-1,-1,460,5,5,-999,-999,-999,-999,-999,-999
EPIC_249801827b,TEP,227.84963,-17.87522,13.39,9.56,0.0897,0.13,2457996.825,-1,6.034,0.001,3810,17,17,-1,-1,-1,0.58,0.01,0.01,0.54,0.01,0.01,4.7,0.1,0.1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.178,0.018,0.009,-1,-1,-1,-1,-1,-1,586,24,18,-999,-999,-999,-999,-999,-999
EPIC_249801827c,TEP,227.84963,-17.87522,13.39,9.56,0.133,0.098,2458005.722,-1,20.523,0.001,3810,17,17,-1,-1,-1,0.58,0.01,0.01,0.54,0.01,0.01,4.7,0.1,0.1,-1,-1,-1,0.0,-1,-1,-1,-1,-1,-1,-1,-1,0.161,0.027,0.009,-1,-1,-1,-1,-1,-1,389,19,17,-999,-999,-999,-999,-999,-999
G_9-40,TEP,134.71804,21.07617,13.82,9.19,0.0557,0.37,2458497.77747,0.00033,5.746007,0.000006,3348,32,32,+0.04,0.10,0.11,0.290,0.020,0.020,0.3073,0.0059,0.0061,4.926,0.027,0.027,10.00,0.70,0.65,0.0,-1,-1,0.0385,0.0078,0.0053,0.0,0.037,0.0,0.1807,0.0086,0.0086,-1,-1,-1,-1,-1,-1,456,35,40,-999,-999,-999,-999,-999,-999
GJ_0357,TEP,144.00683,-21.66081,10.91,6.48,0.053,0.1,2458517.9994,0.0001,3.93086,0.00004,3505,51,51,-0.12,0.16,0.16,0.342,0.011,0.011,0.337,0.015,0.015,4.94,0.07,0.07,9.2,1.1,1.1,0.0,-1,-1,0.033,0.001,0.001,0.0066,0.0010,0.0010,0.1041,0.0033,0.0032,11.7,2.6,2.3,1.81,0.34,0.31,531,12,11,-999,-999,-999,-999,-999,-999
GJ_0367,TEP,146.12433,-45.77650,9.98,5.78,0.0256,0.02,2458544.1348,0.0004,0.321962,0.000011,3522,70,70,-0.01,0.12,0.12,0.454,0.011,0.011,0.457,0.013,0.013,4.777,0.026,0.026,4.76,0.33,0.39,0.0,-1,-1,0.0071,0.0002,0.0002,0.0017,0.0002,0.00002,0.0641,0.0048,0.0048,-1,-1,-1,6.1,1.6,1.6,1745,43,43,-999,-999,-999,-999,-999,-999
GJ_0436,TEP,175.54621,26.70656,10.68,6.07,0.04189,0.6,2455475.82450,0.00003,2.64389759,0.00000007,3416,54,54,-0.03,0.20,0.20,0.507,0.071,0.062,0.455,0.018,0.018,4.83,0.03,0.03,5.37,0.30,0.27,0.1616,0.0041,0.0032,0.0308,0.0013,0.0012,0.0799,0.0066,0.0063,0.366,0.014,0.014,13,1,1,1.55,0.12,0.10,669,22,22,72,33,24,80,21,18
GJ_0486,TEP,191.98592,9.75139,11.40,6.36,0.0425,0.2,2458931.15935,0.00042,1.467119,0.000031,3340,54,54,+0.07,0.16,0.16,0.323,0.015,0.015,0.328,0.011,0.011,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01734,0.00026,0.00027,0.0089,0.0004,0.0004,0.1164,0.0056,0.0060,16.4,0.6,0.5,5.3,0.9,0.8,701,13,13,-999,-999,-999,-999,-999,-999
GJ_1132,TEP,153.71604,-47.15681,13.49,8.32,0.0326,0.3,2457554.32450,0.00009,1.6289292,0.0000004,3270,140,140,-0.12,0.15,0.15,0.181,0.019,0.019,0.2105,0.0102,0.0085,-1,-1,-1,19.4,2.6,2.5,0.0,0.22,0.0,0.0153,0.0005,0.0005,0.0052,0.0007,0.0007,0.1008,0.0050,0.0050,12.9,2.2,2.2,4.7,1.0,1.0,529,9,9,-999,-999,-999,-999,-999,-999
GJ_1214,TEP,258.82892,4.96381,14.67,8.78,0.0365,1.4,2455701.413328,0.000063,1.58040433,0.00000013,3250,100,100,+0.29,0.12,0.12,0.178,0.010,0.010,0.215,0.008,0.008,5.026,0.040,0.040,18.0,2.5,2.1,0.0,0.063,0.0,0.01411,0.00032,0.00032,0.0257,0.0014,0.0014,0.2446,0.0045,0.0047,10.65,0.71,0.67,1.66,0.13,0.12,596,19,19,-999,-999,-999,-999,-999,-999
GJ_1252,TEP,306.92533,-56.45700,12.19,7.92,0.03,0.1,2458668.09739,0.00031,0.5182349,0.0000057,3458,140,133,+0.1,0.1,0.1,0.381,0.019,0.019,0.391,0.020,0.020,-1,-1,-1,-1,-1,-1,0.0,-1,-1,0.00916,0.00076,0.00076,0.0066,0.0018,0.0018,0.1064,0.0066,0.0066,-1,-1,-1,-1,-1,-1,997,53,49,-999,-999,-999,-999,-999,-999
GJ_3470,TEP,119.77446,15.39150,12.27,7.99,0.07992,0.7,2456340.72559,0.00010,3.33665266,0.00000030,3725,54,54,+0.420,0.019,0.019,0.476,0.019,0.019,0.474,0.018,0.018,4.65,0.06,0.06,3.39,0.30,0.32,0.017,0.016,0.012,0.03557,0.00096,0.00100,0.0432,0.0051,0.0051,0.346,0.029,0.029,6.8,1.7,1.7,0.89,0.25,0.25,604,98,98,101,29,14,97,16,11
GJ_3473,TEP,120.59533,3.33881,13.69,8.83,0.043,0.1,2458492.20408,0.00043,1.1980035,0.0000019,3347,54,54,+0.11,0.19,0.19,0.360,0.016,0.016,0.364,0.012,0.012,4.81,0.06,0.06,7.75,0.47,0.49,0.0,-1,-1,0.01589,0.00062,0.00062,0.0059,0.0009,0.0009,0.1128,0.0045,0.0044,11.4,2.1,2.0,3.79,0.81,0.70,773,16,15,-999,-999,-999,-999,-999,-999
GJ_3929,TEP,239.57833,35.40675,12.68,7.87,0.015,0.1,2459320.05808,0.00019,2.6162745,0.0000003,3369,51,51,+0.00,0.16,0.16,0.309,0.014,0.014,0.315,0.010,0.010,4.84,0.04,0.04,10.60,0.33,0.42,0.0,-1,-1,0.02569,0.00088,0.00088,0.0038,0.0013,0.0013,0.1026,0.0035,0.0035,9.0,3.1,3.1,3.3,1.2,1.2,569,9,9,-999,-999,-999,-999,-999,-999
GJ_9827b,TEP,351.77017,-1.28628,10.51,7.19,0.06792,0.06,2457738.82586,0.00026,1.2089819,0.0000070,4305,49,49,-0.50,0.08,0.08,0.606,0.020,0.014,0.602,0.005,0.004,4.72,0.10,0.10,3.47,0.27,0.73,0.0,-1,-1,0.01880,0.00020,0.00014,0.0154,0.0015,0.0015,0.1407,0.0024,0.0028,13.95,3.91,2.98,5.22,0.62,0.57,1114,46,26,-999,-999,-999,-999,-999,-999
GJ_9827c,TEP,351.77017,-1.28628,10.51,7.19,0.09125,0.04,2457742.19930,0.00073,3.648096,0.000063,4305,49,49,-0.50,0.08,0.08,0.606,0.020,0.014,0.602,0.005,0.004,4.72,0.10,0.10,3.47,0.27,0.73,0.0,-1,-1,0.03925,0.00042,0.00029,0.0026,0.0021,0.0026,0.1107,0.0021,0.0023,8.87,4.46,3.69,1.8,1.5,1.8,771,32,18,-999,-999,-999,-999,-999,-999
GJ_9827d,TEP,351.77017,-1.28628,10.51,7.19,0.06667,0.08,2457740.96115,0.00045,6.201470,0.000062,4305,49,49,-0.50,0.08,0.08,0.606,0.020,0.014,0.602,0.005,0.004,4.72,0.10,0.10,3.47,0.27,0.73,0.0,-1,-1,0.05591,0.00059,0.00041,0.0127,0.0026,0.0026,0.1804,0.0041,0.0038,5.34,2.19,1.75,2.02,0.44,0.43,646,26,15,-999,-999,-999,-999,-999,-999
GPX-1,BD,38.36921,56.02572,12.27,11.18,0.087,0.90,2458770.23823,0.00040,1.744579,0.000008,7000,200,200,+0.35,0.1,0.1,1.68,0.10,0.10,1.56,0.10,0.10,4.27,0.05,0.05,0.44,0.10,0.10,0.0,-1,-1,0.0338,0.0003,0.0003,19.7,1.6,1.6,1.47,0.10,0.10,234,35,30,6.2,1.3,1.0,2300,48,48,-999,-999,-999,-999,-999,-999
HAT-P-01,TEP,344.44512,38.67494,10.4,8.86,0.11875,1.7,2453979.93202,0.00024,4.46529976,0.00000055,5975,50,50,+0.13,0.05,0.05,1.151,0.019,0.019,1.174,0.026,0.027,4.359,0.014,0.014,0.644,0.013,0.016,0.0,-1,-1,0.05561,0.00082,0.00083,0.525,0.019,0.019,1.319,0.019,0.019,7.46,0.17,0.17,0.213,0.008,0.007,1322,14,15,3.7,2.1,2.1,-999,-999,-999
HAT-P-02,TEP,245.15150,41.04808,8.71,7.60,0.1787,0.6,2455288.84969,0.00039,5.6334675,0.0000013,6290,60,60,+0.14,0.08,0.08,1.279,0.046,0.046,1.680,0.150,0.150,4.092,0.074,0.074,0.268,0.070,0.070,0.5091,0.0005,0.0005,0.06740,0.00081,0.00081,8.74,0.27,0.27,1.190,0.120,0.120,152,30,30,5.1,1.5,1.5,1516,66,66,0.2,12.2,12.5,-999,-999,-999
HAT-P-03,TEP,206.09412,48.02867,11.86,9.45,0.08646,1.5,2457150.39472,0.00058,2.89973838,0.00000027,5190,80,80,+0.24,0.08,0.08,0.925,0.045,0.045,0.850,0.023,0.023,4.545,0.023,0.023,1.51,0.11,0.11,0.0,-1,-1,0.03878,0.00065,0.00065,0.595,0.024,0.024,0.911,0.034,0.034,17.8,1.2,1.2,0.735,0.075,0.075,1170,17,17,21.2,8.7,8.7,-999,-999,-999
HAT-P-04,TEP,229.99137,36.22969,11.00,9.77,0.1775,0.9,2454245.81521,0.00020,3.0565254,0.0000012,6036,46,46,+0.277,0.007,0.007,1.271,0.120,0.070,1.600,0.116,0.041,4.134,0.017,0.038,0.310,0.016,0.041,0.0,-1,-1,0.04465,0.00140,0.00082,0.680,0.046,0.029,1.337,0.079,0.035,9.42,0.44,0.91,0.266,0.018,0.038,1691,46,26,-4.9,11.9,11.9,-999,-999,-999
HAT-P-05,TEP,274.40542,36.62136,12.00,10.48,0.1217,1.5,2455432.45510,0.00010,2.78847360,0.00000052,5960,100,100,+0.24,0.15,0.15,1.163,0.069,0.069,1.137,0.033,0.033,4.392,0.020,0.030,0.791,0.050,0.050,0.0,-1,-1,0.04079,0.00080,0.00080,1.06,0.11,0.11,1.252,0.043,0.043,16.7,1.9,1.9,0.504,0.067,0.067,1517,29,29,-999,-999,-999,-999,-999,-999
HAT-P-06,TEP,354.77421,42.46597,10.54,9.31,0.1461,1.0,2454035.67617,0.00025,3.8530030,0.0000014,6570,80,80,-0.13,0.08,0.08,1.295,0.068,0.068,1.518,0.071,0.071,4.188,0.035,0.035,0.370,0.045,0.045,0.0,-1,-1,0.05244,0.00092,0.00092,1.063,0.057,0.057,1.395,0.081,0.081,13.5,1.6,1.6,0.366,0.064,0.064,1704,40,40,165,6,6,-999,-999,-999
HAT-P-07,TEP,292.24733,47.96953,10.46,9.33,0.16430,0.67,2454954.358557,0.000006,2.20473539,0.00000001,6310,15,15,+0.32,0.04,0.04,1.59,0.03,0.03,2.02,0.01,0.01,4.029,0.003,0.003,0.1919,0.0025,0.0025,0.0016,0.0034,0.0010,0.03805,0.00036,0.00036,1.87,0.03,0.03,1.526,0.008,0.008,20.77,0.33,0.33,0.50,0.01,0.01,2194,27,27,220.3,8.2,9.3,115,19,16
HAT-P-08,TEP,343.04108,35.44711,10.30,8.95,0.1587,0.7,2454437.6742,0.0014,3.0763458,0.0000024,6200,80,80,+0.01,0.08,0.08,1.192,0.075,0.075,1.475,0.034,0.034,4.177,0.022,0.022,0.517,0.035,0.035,0.0,-1,-1,0.04390,0.00091,0.00091,1.275,0.053,0.053,1.321,0.040,0.040,18.11,0.82,0.82,0.371,0.022,0.022,1713,27,27,-17,9.2,11.5,-999,-999,-999
HAT-P-09,TEP,110.16867,37.14061,12.30,11.02,0.143,1.3,2454417.9084,0.0006,3.922814,0.000002,6350,150,150,+0.12,0.20,0.20,1.28,0.10,0.10,1.339,0.080,0.080,4.293,0.046,0.046,0.534,0.082,0.082,0.0,-1,-1,0.0529,0.0014,0.0014,0.778,0.083,0.083,1.38,0.10,0.10,10.1,1.7,1.7,0.275,0.066,0.066,1540,53,53,-16,8,8,-999,-999,-999
HAT-P-11,TEP,297.70938,48.08086,9.47,7.01,0.0980,0.43,2454957.813207,0.000005,4.88780244,0.00000003,4780,50,50,+0.31,0.05,0.05,0.802,0.028,0.028,0.683,0.009,0.009,4.663,0.012,0.012,2.415,0.097,0.097,0.2644,0.0006,0.0006,0.05259,0.00062,0.00062,0.0873,0.0097,0.0097,0.3890,0.0053,0.0053,13.2,1.1,1.1,1.26,0.12,0.12,838,10,10,103,26,10,-999,-999,-999
HAT-P-12,TEP,209.38946,43.49356,12.8,10.11,0.0974,2.0,2456446.635829,0.000036,3.21305766,0.00000013,4665,45,45,-0.20,0.09,0.09,0.691,0.023,0.023,0.679,0.013,0.013,4.614,0.012,0.012,2.205,0.077,0.077,0.0,-1,-1,0.03767,0.00063,0.00063,0.201,0.012,0.012,0.919,0.023,0.023,5.89,0.34,0.34,0.242,0.017,0.017,955,11,11,-54,41,13,-999,-999,-999
HAT-P-13,TEP,129.88254,47.35203,10.62,8.97,0.1345,0.8,2455176.53893,0.00022,2.9162433,0.0000012,5653,90,90,+0.41,0.08,0.08,1.320,0.062,0.062,1.756,0.046,0.046,4.070,0.020,0.020,0.244,0.013,0.013,0.0133,0.0041,0.0041,0.04383,0.00068,0.00068,0.906,0.030,0.030,1.487,0.041,0.041,10.15,0.43,0.43,0.257,0.017,0.017,1725,31,31,1.9,8.6,8.6,-999,-999,-999
HAT-P-14,TEP,260.11613,38.24219,10.0,8.85,0.0907,0.5,2457138.21545,0.00029,4.6276594,0.0000010,6600,90,90,+0.11,0.08,0.08,1.418,0.054,0.054,1.591,0.056,0.056,4.187,0.025,0.025,0.352,0.031,0.031,0.107,0.013,0.013,0.06108,0.00077,0.00077,2.271,0.083,0.083,1.219,0.059,0.059,37.9,3.7,3.7,1.17,0.17,0.17,1624,32,32,189.1,5.1,5.1,-999,-999,-999
HAT-P-15,TEP,66.24800,39.46061,12.16,9.64,0.2285,1.3,2454638.56019,0.00048,10.863502,0.000037,5568,90,90,+0.22,0.08,0.08,1.013,0.043,0.043,1.080,0.039,0.039,4.38,0.03,0.03,1.58,0.18,0.18,0.190,0.019,0.019,0.0964,0.0014,0.0014,1.946,0.066,0.066,1.072,0.043,0.043,41.7,2.9,2.9,1.48,0.17,0.17,904,20,20,-999,-999,-999,-999,-999,-999
HAT-P-16,TEP,9.57317,42.46306,10.8,9.55,0.1276,1.0,2455027.59292,0.00019,2.7759704,0.0000007,6140,72,72,+0.12,0.08,0.08,1.216,0.055,0.055,1.158,0.025,0.025,4.396,0.016,0.016,0.784,0.040,0.040,0.036,0.004,0.004,0.04130,0.00062,0.00062,4.193,0.128,0.128,1.190,0.037,0.037,73.4,4.1,4.1,2.33,0.20,0.20,1567,22,22,-2,55,46,-999,-999,-999
HAT-P-17,TEP,324.53700,30.48872,10.54,8.54,0.1663,1.5,2457122.67990,0.00008,10.338524,0.000009,5322,55,55,+0.05,0.13,0.13,0.88,0.04,0.04,0.84,0.01,0.01,-1,-1,-1,-1,-1,-1,0.3417,0.0036,0.0036,0.0882,0.0014,0.0014,0.54,0.02,0.02,1.04,0.02,0.02,12.9,0.6,0.6,0.33,0.02,0.02,792,15,15,19,14,16,-999,-999,-999
HAT-P-18,TEP,256.34700,33.01250,12.76,10.23,0.1131,1.9,2454715.02254,0.00039,5.5080291,0.0000042,4870,50,50,+0.10,0.06,0.06,0.770,0.027,0.027,0.717,0.026,0.026,4.613,0.031,0.031,2.08,0.21,0.21,0.009,0.03,0.009,0.0559,0.0007,0.0007,0.196,0.008,0.008,0.947,0.044,0.044,5.42,0.55,0.55,0.216,0.032,0.032,841,15,15,132,15,15,-999,-999,-999
HAT-P-19,TEP,9.51675,34.71158,12.90,10.55,0.11804,2.2,2457031.78609,0.00015,4.00878236,0.00000050,4991,50,50,+0.24,0.05,0.05,0.834,0.034,0.031,0.788,0.093,0.091,4.566,0.018,0.018,1.71,0.09,0.08,0.084,0.041,0.041,0.04649,0.00062,0.00059,0.290,0.016,0.016,1.089,0.018,0.018,6.07,0.39,0.37,0.210,0.016,0.014,984,10,10,-999,-999,-999,-999,-999,-999
HAT-P-20,TEP,111.91650,24.33639,11.34,8.60,0.0770,1.9,2456670.97803,0.00010,2.875317,0.0000004,4595,45,45,+0.22,0.09,0.09,0.748,0.042,0.042,0.680,0.006,0.006,4.643,0.020,0.020,1.67,0.11,0.11,0.0172,0.0016,0.0016,0.03593,0.00029,0.00029,7.22,0.36,0.36,1.025,0.053,0.053,170.2,7.6,7.3,6.26,0.29,0.29,964,10,10,-8.0,6.9,6.9,36,10,12
HAT-P-21,TEP,171.27450,41.02794,11.69,10.11,0.1530,1.1,2454996.41312,0.00069,4.124481,0.000007,5588,80,80,+0.01,0.08,0.08,0.947,0.042,0.042,1.105,0.083,0.083,4.33,0.06,0.06,-1,-1,-1,0.228,0.016,0.016,0.0494,0.0007,0.0007,4.063,0.161,0.161,1.024,0.092,0.092,95,18,18,3.77,1.28,0.80,1283,50,50,-999,-999,-999,-999,-999,-999
HAT-P-22,TEP,155.68129,50.12833,9.73,7.84,0.1196,1.5,2456366.08903,0.00025,3.212233,0.0000004,5314,50,50,+0.30,0.09,0.09,0.936,0.043,0.043,1.062,0.048,0.048,4.357,0.039,0.039,0.781,0.099,0.099,0.016,0.009,0.009,0.04171,0.00065,0.00065,2.192,0.077,0.077,1.060,0.073,0.073,48.3,6.6,6.6,1.72,0.35,0.35,1293,29,29,-2.1,3.0,3.0,24,18,18
HAT-P-23,TEP,306.12496,16.76214,12.43,10.79,0.0908,1.8,2456539.390497,0.000040,1.21288643,0.00000004,5885,72,72,+0.13,0.08,0.08,1.104,0.047,0.047,1.089,0.028,0.028,4.407,0.018,0.018,0.855,0.051,0.051,0.0,-1,-1,0.02302,0.00032,0.00032,2.07,0.12,0.12,1.224,0.037,0.037,34.3,2.4,2.4,1.057,0.097,0.097,1951,30,30,15,22,22,-999,-999,-999
HAT-P-24,TEP,108.82500,14.26261,11.75,10.54,0.1539,1.2,2455592.76491,0.00023,3.3552454,0.0000007,6373,80,80,-0.16,0.08,0.08,1.186,0.042,0.041,1.294,0.071,0.062,4.286,0.038,0.039,0.545,0.078,0.072,0.052,0.022,0.017,0.04641,0.00054,0.00054,0.681,0.031,0.030,1.243,0.072,0.061,10.9,1.1,1.1,0.354,0.056,0.053,1624,44,41,20,16,16,-999,-999,-999
HAT-P-25,TEP,48.43546,25.19742,13.19,10.81,0.1130,1.9,2457006.91299,0.00021,3.65281591,0.00000067,5500,80,80,+0.31,0.08,0.08,1.012,0.053,0.051,0.919,0.034,0.034,4.516,0.026,0.025,1.30,0.12,0.11,0.023,0.022,0.014,0.04660,0.00081,0.00080,0.569,0.022,0.023,1.135,0.048,0.048,10.94,0.86,0.78,0.364,0.044,0.038,1182,25,25,-999,-999,-999,-999,-999,-999
HAT-P-26,TEP,213.15642,4.06003,11.74,9.58,0.1023,0.6,2455304.65218,0.00025,4.23450236,0.00000003,5011,55,55,+0.01,0.04,0.04,0.816,0.033,0.033,0.788,0.098,0.043,4.56,0.06,0.06,-1,-1,-1,0.124,0.060,0.060,0.0479,0.0006,0.0006,0.059,0.007,0.007,0.565,0.072,0.032,4.47,0.90,0.92,0.32,0.08,0.08,1001,66,47,-999,-999,-999,-999,-999,-999
HAT-P-27,TEP,222.76746,5.94736,12.16,10.11,0.0705,1.5,2455186.01991,0.00044,3.0395803,0.0000015,5316,55,55,+0.30,0.03,0.03,0.945,0.035,0.035,0.898,0.054,0.039,4.51,0.04,0.04,-1,-1,-1,0.078,0.047,0.047,0.0403,0.0005,0.0005,0.660,0.033,0.033,1.038,0.077,0.058,15.1,1.7,1.7,0.59,0.10,0.10,1207,41,41,24.2,76.0,44.5,-999,-999,-999
